"symbol","company_name","previous_close","option_chain"
"ATAX","America First Multifamily Investors, L.P. - Beneficial Unit Certificates (BUCs) representing Limited Partnership Interests",5.940000057220459,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ATHX","Athersys, Inc. - Common Stock",1.559999942779541,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ATRA","Atara Biotherapeutics, Inc. - Common Stock",12.890000343322754,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ATRS","Antares Pharma, Inc. - Common Stock",3.5999999046325684,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AUPH","Aurinia Pharmaceuticals Inc - Common Shares",12.34000015258789,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AVDL","Avadel Pharmaceuticals plc - American Depositary Shares each representing one Ordinary Share",7.880000114440918,"{""contractSymbol"":{""0"":""AVDL210917P00007500""},""lastTradeDate"":{""0"":1619804599000},""strike"":{""0"":7.5},""lastPrice"":{""0"":1.02},""bid"":{""0"":0.15},""ask"":{""0"":1.15},""change"":{""0"":0.0},""percentChange"":{""0"":0.0},""volume"":{""0"":331.0},""openInterest"":{""0"":378},""impliedVolatility"":{""0"":0.5058643164},""inTheMoney"":{""0"":false},""contractSize"":{""0"":""REGULAR""},""currency"":{""0"":""USD""},""symbol"":{""0"":""AVDL""}}"
"AVEO","AVEO Pharmaceuticals, Inc. - Common Stock",6.630000114440918,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AVRO","AVROBIO, Inc. - Common Stock",8.75,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AXAS","Abraxas Petroleum Corporation - Common Stock",1.9299999475479128,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AXDX","Accelerate Diagnostics, Inc. - Common Stock",7.300000190734863,"{""contractSymbol"":{""0"":""AXDX210521P00020000"",""1"":""AXDX210820P00020000""},""lastTradeDate"":{""0"":1617642407000,""1"":1617642407000},""strike"":{""0"":20.0,""1"":20.0},""lastPrice"":{""0"":10.75,""1"":10.85},""bid"":{""0"":11.7,""1"":10.8},""ask"":{""0"":13.9,""1"":14.7},""change"":{""0"":0.0,""1"":0.0},""percentChange"":{""0"":0.0,""1"":0.0},""volume"":{""0"":342.0,""1"":342.0},""openInterest"":{""0"":444,""1"":750},""impliedVolatility"":{""0"":3.3750015625,""1"":1.1210981445},""inTheMoney"":{""0"":true,""1"":true},""contractSize"":{""0"":""REGULAR"",""1"":""REGULAR""},""currency"":{""0"":""USD"",""1"":""USD""},""symbol"":{""0"":""AXDX"",""1"":""AXDX""}}"
